Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,rdn,2.2,0.4,1.0,expset,3t4,0.4711062198839906,"[9.49118795364223e-177, 0.0007526716904679677, 6.188795048310195e-178]"
52,HX_HY_HZ,8,rdn,0.0,0.4,5.0,expset,1t2,1.1992790592758393e-127,"[1.3887219415085508e-06, 0.29224658621792965, 0.00013216172331534157]"
52,HX_HY_HZ,8,rdn,8.9,0.5,1.0,expset,1t4,6.229164042624446e-163,"[3.0780086901820725e-181, 0.37349212801679765, 3.111842312969097e-181]"
52,HX_HY_HZ,8,oie,4.4,1.0,3.7,expset,2t3,1.0,"[3.747797144551208e-38, 1.1339749356131718e-172, 3.746901987021545e-178]"
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,expset,1t3,8.179209100075218e-165,"[3.061229910136393e-181, 0.37782494488510976, 3.094879323717675e-181]"
52,HX_HY_HZ,8,oie,5.6,0.4,3.7,gausset,2t4,1.0,"[6.550114361859349e-178, 3.674334903469806e-58, 2.3298332559646782e-161]"
52,HX_HY_HZ,8,oie,5.6,0.2,1.0,gausset,2t3,1.0,"[4.738702712354216e-166, 2.357340393933308e-43, 1.9740296228145826e-118]"
52,HX_HY_HZ,8,rdn,2.2,0.9,1.0,gausset,2t3,0.0018372075268724055,"[0.006299508508595051, 0.0006475845959972547, 2.315568709111998e-11]"
52,HX_HY_HZ,8,rdn,8.9,0.4,2.3,gausset,2t3,0.43660296019811345,"[1.7148454354983455e-34, 9.815385219770355e-15, 0.0008287310547744973]"
52,HX_HY_HZ,8,oie,0.0,0.2,2.3,expset,2t4,1.0,"[7.930222198169292e-36, 1.940923525327856e-170, 1.800048622776502e-176]"
52,HX_HY_HZ,8,rdn,7.8,0.9,2.3,gausset,1t2,0.004239744267083106,"[0.005463252325924447, 0.0003072466720382856, 3.478317438030475e-12]"
52,HX_HY_HZ,8,rdn,0.0,0.8,3.7,gausset,3t4,1.2003422145657888e-177,"[7.369366120922888e-45, 0.40737495476500307, 7.340061969832065e-44]"
52,HX_HY_HZ,8,oie,3.3,0.5,2.3,expset,1t3,1.0,"[1.7510191647154237e-120, 5.840856441617666e-106, 5.682593428002529e-174]"
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,gausset,1t4,5.380324173013522e-29,"[1.885180636800215e-11, 0.06509221906926194, 4.367449907975443e-17]"
52,HX_HY_HZ,8,oie,0.0,0.5,2.3,expset,1t2,0.7476255697376658,"[0.0002908530015542844, 1.0619758878072786e-106, 3.0221917805820314e-119]"
52,HX_HY_HZ,8,rdn,2.2,0.9,5.0,expset,2t3,9.167620465620643e-49,"[3.4335582091508876e-181, 0.11061099179532174, 3.686375032099654e-181]"
52,HX_HY_HZ,8,oie,10.0,0.8,5.0,gausset,2t3,1.0,"[1.4188980974986194e-178, 1.2233231085282756e-53, 2.119898330934649e-168]"
52,HX_HY_HZ,8,oie,10.0,0.2,2.3,gausset,2t4,1.0,"[1.5690019637293458e-166, 5.807593917143568e-45, 6.36750401528367e-117]"
52,HX_HY_HZ,8,rdn,1.1,0.4,3.7,gausset,1t2,0.4751508920720016,"[8.196501767797074e-36, 1.2279641652834018e-15, 0.0007441228578731361]"
52,HX_HY_HZ,8,oie,1.1,0.4,1.0,gausset,1t4,1.0,"[7.328367206304783e-178, 1.450106380413427e-63, 7.236943002081068e-158]"
52,HX_HY_HZ,8,oie,1.1,0.5,5.0,expset,1t4,1.0,"[2.5103918896991084e-107, 6.794346825981058e-103, 4.587835918733877e-171]"
52,HX_HY_HZ,8,rdn,5.6,0.7,3.7,expset,1t2,1.1544410563635843e-212,"[3.061229910136393e-181, 0.4880044234217821, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,10.0,0.4,2.3,gausset,2t4,1.0,"[2.400701331353675e-178, 2.1510644489252714e-60, 5.268544775441096e-160]"
52,HX_HY_HZ,8,oie,5.6,0.1,1.0,gausset,2t3,1.0,"[3.270788942420716e-141, 6.165299010616351e-21, 1.8557013480355305e-115]"
52,HX_HY_HZ,8,oie,1.1,0.8,5.0,expset,1t2,1.0,"[2.0397408726112253e-109, 3.2035980063639125e-100, 2.588610285779813e-171]"
52,HX_HY_HZ,8,rdn,8.9,0.8,5.0,gausset,2t4,1.8082212440308884e-17,"[1.5751171902973375e-05, 0.038551602956929214, 0.007375278219508882]"
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,expset,2t3,1.0,"[1.8469022194404157e-38, 1.171340540168317e-169, 2.1441692638352244e-176]"
52,HX_HY_HZ,8,oie,8.9,0.4,2.3,gausset,2t3,1.0,"[2.4482368387877913e-178, 2.8420827328822428e-59, 3.8922670849910023e-159]"
52,HX_HY_HZ,8,rdn,6.7,0.1,2.3,expset,3t4,5.7142614948769684e-86,"[1.6874895621448853e-173, 0.19627935293083482, 1.1672192563516535e-169]"
52,HX_HY_HZ,8,oie,5.6,0.2,2.3,expset,2t4,1.0,"[3.0054286805267318e-37, 2.0370677254986167e-170, 2.289524859948265e-176]"
52,HX_HY_HZ,8,oie,5.6,0.1,3.7,gausset,1t3,1.0,"[4.544034984818933e-137, 3.8972152672883524e-23, 2.6543118139829822e-105]"
52,HX_HY_HZ,8,rdn,0.0,0.9,5.0,gausset,1t2,3.0075011131339046e-06,"[0.012714401018978309, 0.0019875123519992287, 9.42185116693405e-06]"
52,HX_HY_HZ,8,oie,6.7,0.6,3.7,expset,1t4,1.0,"[9.105540264708293e-118, 7.988704601543068e-101, 2.0363204467318838e-172]"
52,HX_HY_HZ,8,oie,4.4,0.6,3.7,gausset,1t3,1.0,"[2.514696393982169e-178, 2.8673053451141657e-60, 3.2413351795645934e-168]"
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t4,1.0970770471539773e-48,"[3.4712950255308133e-181, 0.11043143505047176, 3.686375032099654e-181]"
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,gausset,1t4,1.0,"[1.0352848118470085e-167, 6.635917250854568e-48, 3.6309927804898185e-113]"
52,HX_HY_HZ,8,rdn,7.8,0.7,1.0,gausset,3t4,0.8247080568545112,"[2.8946857138590238e-05, 0.00019272582575376954, 1.2470171471306554e-17]"
52,HX_HY_HZ,8,oie,7.8,0.3,5.0,expset,1t4,1.0,"[2.6264637606180563e-115, 2.655200955606915e-94, 1.9937633572527808e-170]"
52,HX_HY_HZ,8,oie,2.2,0.3,5.0,expset,1t3,1.0,"[3.264590940776617e-111, 1.0290622416375846e-94, 4.582411757831413e-170]"
52,HX_HY_HZ,8,rdn,4.4,0.3,2.3,gausset,1t4,7.014845317908196e-12,"[2.0745111668192794e-11, 0.02568299245280851, 1.4261348528858378e-18]"
52,HX_HY_HZ,8,rdn,0.0,0.5,1.0,expset,1t3,1.3003331175068804e-122,"[3.061229910136393e-181, 0.28065276086939495, 3.1632904785180664e-181]"
52,HX_HY_HZ,8,rdn,10.0,0.7,5.0,expset,2t4,1.0299933728736972e-51,"[3.2509322120021483e-181, 0.1174022873745787, 3.706575709077622e-181]"
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,2t4,1.0,"[1.471656055145802e-39, 4.632456968762049e-173, 2.5198347769165624e-178]"
52,HX_HY_HZ,8,oie,0.0,0.8,2.3,gausset,2t3,1.0,"[5.659547761167527e-178, 8.49465042794058e-34, 1.0941116932065396e-169]"
52,HX_HY_HZ,8,rdn,8.9,0.9,5.0,expset,3t4,9.127105963374724e-47,"[2.629099558825669e-178, 0.1060102507073728, 5.037579345426054e-178]"
52,HX_HY_HZ,8,rdn,4.4,0.8,2.3,gausset,2t4,6.852161310199974e-15,"[1.5284490660659937e-05, 0.03261421227266521, 0.00732113235672355]"
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t3,3.8033903009204943e-199,"[3.061229910136393e-181, 0.45687854065239, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,6.7,0.8,1.0,expset,2t4,1.0,"[4.372668057475687e-34, 5.530020760548558e-174, 1.860788807837714e-178]"
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,gausset,3t4,8.383814983735857e-190,"[1.1643992865998056e-178, 0.43536486460931306, 3.264784866768928e-178]"
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,1t2,1.0,"[1.5319734540240074e-178, 2.9779271216674597e-51, 8.850008784510172e-171]"
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,expset,3t4,1.0,"[1.4567445960097777e-46, 7.428773608626887e-175, 4.25307084311531e-158]"
52,HX_HY_HZ,8,rdn,7.8,0.4,2.3,gausset,2t3,0.8270988492688249,"[4.1200046175737646e-35, 3.7205768067477816e-14, 0.0001898310635694601]"
52,HX_HY_HZ,8,oie,3.3,0.9,5.0,gausset,2t3,1.0,"[2.1845192879916417e-178, 7.740282589762354e-47, 1.0911104750642767e-171]"
