Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,expset,3t4,0.6542490605434532,0.07453628855271863,0.6542490605434532,0.9254637114472813
52,HX_HY_HZ,8,rdn,7.8,0.4,2.3,gausset,2t3,0.3997715492497288,0.30934891746713394,0.3997715492497288,0.690651082532866
52,HX_HY_HZ,8,oie,3.3,0.9,5.0,gausset,2t3,0.8644871972143151,7.19093532451085e-08,0.8644871972143151,0.9999999280906468
52,HX_HY_HZ,8,oie,7.8,0.7,5.0,expset,1t2,0.4918724293734345,0.024798783839905574,0.4918724293734345,0.9752012161600945
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,gausset,2t3,0.7651047007993251,8.614625892773414e-07,0.7651047007993251,0.9999991385374107
52,HX_HY_HZ,8,rdn,6.7,0.2,1.0,expset,3t4,0.016872051598160166,0.012947069913960618,0.016872051598160166,0.9870529300860393
52,HX_HY_HZ,8,oie,3.3,0.1,1.0,gausset,2t4,0.6892530464596996,0.046026377187515774,0.6892530464596996,0.9539736228124842
52,HX_HY_HZ,8,rdn,8.9,0.7,3.7,expset,1t3,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,10.0,0.1,5.0,gausset,2t4,,,,
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,expset,2t3,0.9476321082904743,0.0015668845391470358,0.9476321082904743,0.998433115460853
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,expset,1t3,0.5006031499206021,0.022655589789047925,0.5006031499206021,0.9773444102109521
52,HX_HY_HZ,8,oie,6.7,0.6,2.3,expset,2t4,0.9365934785728665,0.0023884505642251717,0.9365934785728665,0.9976115494357748
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,gausset,1t4,0.7529408170893943,5.983981096067118e-06,0.7529408170893943,0.9999940160189039
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,gausset,2t3,0.784070969756002,0.004116449249357325,0.784070969756002,0.9958835507506427
52,HX_HY_HZ,8,rdn,0.0,0.1,3.7,expset,2t4,0.00040837001743500214,0.0003149728683191435,0.00040837001743500214,0.9996850271316808
